Team Name,Twitter,Facebook,Instagram,Team Site
AF CORSE NO. 21,https://twitter.com/AFCorse,https://www.facebook.com/afcorseofficial,https://www.instagram.com/afcorse_official/,https://www.afcorse.it/english
AF CORSE NO. 88,https://twitter.com/AFCorse,https://www.facebook.com/afcorseofficial,https://www.instagram.com/afcorse_official/, 
ANDRETTI AUTOSPORT NO. 36, , , , 
ANDRETTI AUTOSPORT NO. 94, , , , 
AO RACING NO. 80, , , , 
AWA NO. 13, , , , 
AWA NO. 17, , , , 
BMW M TEAM RLL NO. 24,https://twitter.com/RLLracing,https://www.facebook.com/RahalLettermanLaniganRacing,https://www.instagram.com/rllracing/,https://rahal.com/
BMW M TEAM RLL NO. 25,https://twitter.com/RLLracing,https://www.facebook.com/RahalLettermanLaniganRacing,https://www.instagram.com/rllracing/,https://rahal.com/
CADILLAC RACING NO. 01,https://twitter.com/CGRTeams,https://www.facebook.com/search/top?q=chip%20ganassi%20racing,https://www.instagram.com/chipganassiracing/, 
CADILLAC RACING NO. 02,https://twitter.com/CGRTeams,https://www.facebook.com/search/top?q=chip%20ganassi%20racing,https://www.instagram.com/chipganassiracing/, 
CETILAR RACING NO. 47,https://twitter.com/CetilarRacing,https://www.facebook.com/CetilarRacing,https://www.instagram.com/cetilar_racing/,http://www.cetilarracing.com/
CORVETTE RACING NO. 3,https://twitter.com/CorvetteRacing,https://www.facebook.com/corvetteracingusa, ,https://www.corvetteracing.com/
CROWDSTRIKE RACING BY APR NO. 04,https://twitter.com/CrowdStrikeRcng,https://www.facebook.com/CrowdStrikeRacing,https://www.instagram.com/crowdstrikeracing/,https://crowdstrikeracing.com/
ERA MOTORSPORT NO. 18,https://twitter.com/EraMotorsport,https://www.facebook.com/EraMotorsport,https://www.instagram.com/era.motorsport/, 
FASTTMD RACING NO. 87, ,https://www.facebook.com/fastmdracing,https://www.instagram.com/fastmdracing/, 
FORTE RACING POWERED BY USRT NO. 78,https://twitter.com/USRaceTronics,https://www.facebook.com/usracetronics,https://www.instagram.com/usracetronics/, 
GRADIENT RACING NO. 66,https://twitter.com/GradientRacing,https://www.facebook.com/GradientRacing,https://www.instagram.com/gradientracing/,https://www.gradientracing.com/
HEART OF RACING TEAM NO. 23,https://twitter.com/HeartofRacing23,https://www.facebook.com/HeartOfRacing,https://www.instagram.com/theheartofracing/,https://www.heartofracingteam.com/
HEART OF RACING TEAM NO. 27,https://twitter.com/HeartofRacing23,https://www.facebook.com/HeartOfRacing,https://www.instagram.com/theheartofracing/,https://www.heartofracingteam.com/
HIGH CLASS RACING NO. 20,https://twitter.com/HighClassRacing,https://www.facebook.com/HighClassRacing,https://www.instagram.com/highclass.racing/, 
INCEPTION RACING NO. 70, ,https://www.facebook.com/inceptionracing, , 
IRON DAMES NO. 83,https://twitter.com/IronDames_,https://www.facebook.com/irondamesofficial,https://www.instagram.com/iron.dames/,https://www.ironlynx.it/iron-dames/
IRON LYNX NO. 19,https://twitter.com/IronLynx_,https://www.facebook.com/ironlynxmotorsport,https://www.instagram.com/iron.lynx/, 
IRON LYNX NO. 63,https://twitter.com/IronLynx_,https://www.facebook.com/ironlynxmotorsport,https://www.instagram.com/iron.lynx/, 
JDC-MILLER MOTORSPORTS NO. 5, ,https://facebook.com/JDCMotorsports1, ,http://www.jdcmotorsport.com/
JDC-MILLER MOTORSPORTS NO. 85,https://twitter.com/JDCMiller,https://www.facebook.com/JDCMotorsports1,https://www.instagram.com/jdcmotorsports/, 
KELLYMOSS WITH RILEY NO. 91,https://twitter.com/KellyMossRacing,https://www.facebook.com/kellymossinc,https://www.instagram.com/kellymossinc/, 
KELLYMOSS WITH RILEY NO. 92,https://twitter.com/KellyMossRacing,https://www.facebook.com/kellymossinc,https://www.instagram.com/kellymossinc/, 
KONICA MINOLTA ACURA ARX-06 NO. 10,https://twitter.com/WayneTaylorRcng,https://www.facebook.com/WayneTaylorRacing,https://www.instagram.com/waynetaylorracing/,https://waynetaylorracing.com/
KORTHOFF/PRESTON MOTORSPORTS NO. 32,https://twitter.com/GilbertKorthoff,https://www.facebook.com/teamkorthoffmotorsports,https://www.instagram.com/teamkorthoffmotorsports/, 
MAGNUS RACING NO. 44,https://twitter.com/MagnusRacing,https://www.facebook.com/RacingMagnus,https://www.instagram.com/magnusracing/,http://www.magnusracing.com/
MDK MOTORSPORTS NO. 53,https://twitter.com/mdkmotorsports,https://www.facebook.com/mdkmotorsports,https://www.instagram.com/mdkmotorsports/,https://www.mdkmoto.com/
MEYER SHANK RACING W/CURB-AGAJANIAN NO. 60,https://twitter.com/MeyerShankRac,https://www.facebook.com/MeyerShankRacing,https://www.instagram.com/meyershankracing/,http://www.michaelshankracing.com/
MRS GT-RACING NO. 43, , , , 
NTE SPORT NO. 42,https://twitter.com/NTE_Sport,https://www.facebook.com/ntesportimsa,https://www.instagram.com/nte_sport/, 
PAUL MILLER RACING NO. 1,https://twitter.com/paulmilleracing,https://www.facebook.com/paulmillerracing/,https://www.instagram.com/paulmillerracing/,https://paulmillerracing.com/
PERFORMANCE TECH MOTORSPORTS NO. 38,https://twitter.com/Perf_Tech,https://www.facebook.com/PerformanceTechMotorsports,https://www.instagram.com/performancetech/, 
